MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000145 after 2900 iterations
res_norm = 0.000135 after 3000 iterations
res_norm = 0.000126 after 3100 iterations
res_norm = 0.000117 after 3200 iterations
res_norm = 0.000110 after 3300 iterations
res_norm = 0.000102 after 3400 iterations
res_norm = 0.000096 after 3500 iterations
res_norm = 0.000089 after 3600 iterations
res_norm = 0.000084 after 3700 iterations
res_norm = 0.000078 after 3800 iterations
res_norm = 0.000074 after 3900 iterations
res_norm = 0.000069 after 4000 iterations
res_norm = 0.000065 after 4100 iterations
res_norm = 0.000061 after 4200 iterations
Problem solved in 4239 iterations
res_norm = 0.011888 after 100 iterations
res_norm = 0.006683 after 200 iterations
res_norm = 0.004509 after 300 iterations
res_norm = 0.003311 after 400 iterations
res_norm = 0.002555 after 500 iterations
res_norm = 0.002036 after 600 iterations
res_norm = 0.001661 after 700 iterations
res_norm = 0.001379 after 800 iterations
res_norm = 0.001162 after 900 iterations
res_norm = 0.000990 after 1000 iterations
res_norm = 0.000851 after 1100 iterations
res_norm = 0.000739 after 1200 iterations
res_norm = 0.000646 after 1300 iterations
res_norm = 0.000568 after 1400 iterations
res_norm = 0.000503 after 1500 iterations
res_norm = 0.000448 after 1600 iterations
res_norm = 0.000400 after 1700 iterations
res_norm = 0.000360 after 1800 iterations
res_norm = 0.000325 after 1900 iterations
res_norm = 0.000294 after 2000 iterations
res_norm = 0.000268 after 2100 iterations
res_norm = 0.000244 after 2200 iterations
res_norm = 0.000223 after 2300 iterations
res_norm = 0.000205 after 2400 iterations
res_norm = 0.000188 after 2500 iterations
res_norm = 0.000173 after 2600 iterations
res_norm = 0.000160 after 2700 iterations
res_norm = 0.000148 after 2800 iterations
res_norm = 0.000137 after 2900 iterations
res_norm = 0.000127 after 3000 iterations
res_norm = 0.000118 after 3100 iterations
res_norm = 0.000110 after 3200 iterations
res_norm = 0.000103 after 3300 iterations
res_norm = 0.000096 after 3400 iterations
res_norm = 0.000089 after 3500 iterations
res_norm = 0.000084 after 3600 iterations
res_norm = 0.000078 after 3700 iterations
res_norm = 0.000073 after 3800 iterations
res_norm = 0.000069 after 3900 iterations
res_norm = 0.000064 after 4000 iterations
res_norm = 0.000060 after 4100 iterations
Problem solved in 4100 iterations
res_norm = 0.011825 after 100 iterations
res_norm = 0.006643 after 200 iterations
res_norm = 0.004492 after 300 iterations
res_norm = 0.003309 after 400 iterations
res_norm = 0.002561 after 500 iterations
res_norm = 0.002048 after 600 iterations
res_norm = 0.001676 after 700 iterations
res_norm = 0.001395 after 800 iterations
res_norm = 0.001178 after 900 iterations
res_norm = 0.001006 after 1000 iterations
res_norm = 0.000867 after 1100 iterations
res_norm = 0.000754 after 1200 iterations
res_norm = 0.000660 after 1300 iterations
res_norm = 0.000582 after 1400 iterations
res_norm = 0.000516 after 1500 iterations
res_norm = 0.000460 after 1600 iterations
res_norm = 0.000412 after 1700 iterations
res_norm = 0.000371 after 1800 iterations
res_norm = 0.000335 after 1900 iterations
res_norm = 0.000304 after 2000 iterations
res_norm = 0.000276 after 2100 iterations
res_norm = 0.000252 after 2200 iterations
res_norm = 0.000231 after 2300 iterations
res_norm = 0.000212 after 2400 iterations
res_norm = 0.000195 after 2500 iterations
res_norm = 0.000179 after 2600 iterations
res_norm = 0.000165 after 2700 iterations
res_norm = 0.000152 after 2800 iterations
res_norm = 0.000141 after 2900 iterations
