MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000060 after 1700 iterations
res_norm = 0.000051 after 1800 iterations
res_norm = 0.000043 after 1900 iterations
Problem solved in 1975 iterations
res_norm = 0.013894 after 100 iterations
res_norm = 0.004167 after 200 iterations
res_norm = 0.002024 after 300 iterations
res_norm = 0.001255 after 400 iterations
res_norm = 0.000857 after 500 iterations
res_norm = 0.000616 after 600 iterations
res_norm = 0.000461 after 700 iterations
res_norm = 0.000355 after 800 iterations
res_norm = 0.000277 after 900 iterations
res_norm = 0.000222 after 1000 iterations
res_norm = 0.000179 after 1100 iterations
res_norm = 0.000147 after 1200 iterations
res_norm = 0.000121 after 1300 iterations
res_norm = 0.000101 after 1400 iterations
res_norm = 0.000084 after 1500 iterations
res_norm = 0.000071 after 1600 iterations
res_norm = 0.000060 after 1700 iterations
res_norm = 0.000051 after 1800 iterations
res_norm = 0.000044 after 1900 iterations
Problem solved in 1973 iterations
res_norm = 0.015038 after 100 iterations
res_norm = 0.004335 after 200 iterations
res_norm = 0.002036 after 300 iterations
res_norm = 0.001246 after 400 iterations
res_norm = 0.000839 after 500 iterations
res_norm = 0.000600 after 600 iterations
res_norm = 0.000446 after 700 iterations
res_norm = 0.000341 after 800 iterations
res_norm = 0.000267 after 900 iterations
res_norm = 0.000213 after 1000 iterations
res_norm = 0.000172 after 1100 iterations
res_norm = 0.000140 after 1200 iterations
res_norm = 0.000116 after 1300 iterations
res_norm = 0.000096 after 1400 iterations
res_norm = 0.000080 after 1500 iterations
res_norm = 0.000067 after 1600 iterations
res_norm = 0.000057 after 1700 iterations
res_norm = 0.000048 after 1800 iterations
res_norm = 0.000041 after 1900 iterations
Problem solved in 1949 iterations
res_norm = 0.013511 after 100 iterations
res_norm = 0.003960 after 200 iterations
res_norm = 0.001877 after 300 iterations
res_norm = 0.001129 after 400 iterations
res_norm = 0.000747 after 500 iterations
res_norm = 0.000518 after 600 iterations
res_norm = 0.000376 after 700 iterations
res_norm = 0.000281 after 800 iterations
res_norm = 0.000215 after 900 iterations
res_norm = 0.000169 after 1000 iterations
res_norm = 0.000134 after 1100 iterations
res_norm = 0.000108 after 1200 iterations
res_norm = 0.000088 after 1300 iterations
res_norm = 0.000073 after 1400 iterations
res_norm = 0.000061 after 1500 iterations
res_norm = 0.000051 after 1600 iterations
res_norm = 0.000043 after 1700 iterations
Problem solved in 1784 iterations
res_norm = 0.013191 after 100 iterations
res_norm = 0.003936 after 200 iterations
res_norm = 0.001878 after 300 iterations
res_norm = 0.001147 after 400 iterations
res_norm = 0.000763 after 500 iterations
res_norm = 0.000535 after 600 iterations
res_norm = 0.000390 after 700 iterations
res_norm = 0.000293 after 800 iterations
res_norm = 0.000225 after 900 iterations
res_norm = 0.000174 after 1000 iterations
res_norm = 0.000137 after 1100 iterations
res_norm = 0.000109 after 1200 iterations
res_norm = 0.000088 after 1300 iterations
res_norm = 0.000071 after 1400 iterations
res_norm = 0.000058 after 1500 iterations
res_norm = 0.000047 after 1600 iterations
res_norm = 0.000039 after 1700 iterations
Problem solved in 1716 iterations
res_norm = 0.012289 after 100 iterations
res_norm = 0.003881 after 200 iterations
res_norm = 0.001921 after 300 iterations
res_norm = 0.001197 after 400 iterations
res_norm = 0.000803 after 500 iterations
res_norm = 0.000565 after 600 iterations
res_norm = 0.000414 after 700 iterations
res_norm = 0.000311 after 800 iterations
res_norm = 0.000240 after 900 iterations
res_norm = 0.000187 after 1000 iterations
res_norm = 0.000149 after 1100 iterations
