0.19417,0.21642,0.24706,0.28657,0.33268,0.37912,0.41666,0.43379,0.42369,0.3956
0.30888,0.32025,0.33658,0.35828,0.38406,0.4106,0.43137,0.43684,0.42096,0.39165
0.39032,0.39542,0.40282,0.41282,0.42461,0.43566,0.44161,0.43586,0.41483,0.38494
0.43633,0.43781,0.43993,0.4426,0.44505,0.44541,0.44045,0.42656,0.40319,0.37389
0.44055,0.44058,0.44046,0.43977,0.4376,0.43257,0.4227,0.40666,0.3848,0.35642
0.41466,0.41414,0.41314,0.41138,0.40811,0.40198,0.39186,0.37759,0.35801,0.32946
0.37348,0.37281,0.37158,0.36932,0.36555,0.35956,0.35014,0.33627,0.3153,0.2842
0.31362,0.31247,0.31062,0.30766,0.30307,0.29597,0.28466,0.26709,0.2419,0.2052
0.21288,0.21161,0.20956,0.20619,0.20097,0.19207,0.17781,0.15612,0.12652,0.08847
0.078702,0.076486,0.072838,0.066853,0.05758,0.04299,0.020837,-0.0011919,-0.001195,-0.001195
